code,number,edition,character,series,quality,wishlists,dropQuality
vvhcx93,11379,2,Etzel,Fire Emblem: Shadow Dragon,2,1,2
vvhs5td,15616,3,Kiyoshi Fujino,Prison School,2,6,2
vvhs0x7,608,5,Silver,Twisted Wonderland,3,28,3
vvhdznq,15971,3,Nanaka,Princess Connect! Re: Dive,2,1,2
vvhrx6r,1028,5,Sigurd,Fire Emblem: Genealogy of the Holy War,3,8,3
vvh3tnv,11107,3,Inugami Korone,Hololive: Holo no Graffiti,1,393,1
vvhp7lj,4224,2,Isao Gumakura,Shaman King (2021),1,0,1
vvh22qw,139,1,Chimera,Campfire Cooking in Another World with My Absurd Skill,1,1,1
vvhmdhr,15270,2,Sothis,Fire Emblem: Three Houses,2,15,2
vv0ttqp,1162,4,Argama,Mobile Suit Zeta Gundam,2,1,2
vv0txn2,25829,2,Kinoko Komori,My Hero Academia 2,2,16,2
vvmx5qg,629,4,Chrome (Glory),Punishing Gray Raven,0,18,0
vvmq9vv,44740,1,Mitsuko Komyoj,Android Kikaider,1,1,1
vm64tjn,50447,1,Polt,Monster Musume no Iru Nichijou,0,5,0
vm60z3p,46038,1,Tomonari Shiga,Haikyuu!! To the Top,3,1,3
vm6vvmc,10365,2,Daidaimaru,Kamisama Kiss 2nd Season,3,1,3
vm6mk6s,46023,1,Ame Onna,Onmyoji: Heian Monogatari,2,1,2
vmxcvnj,22168,2,Ricardo,Fugou Keiji: Balance:Unlimited,2,1,2
vmxvk92,6569,3,Prosciutto,JoJo's Bizarre Adventure: Golden Wind,2,7,2
vms2f9m,51130,1,Musashi Miyamoto,Sengoku Basara: Samurai Kings 2,3,0,3
vmsw992,50581,1,Donet McGuinness,Mahou Sensei Negima! ~Mou Hitotsu no Sekai~,2,0,2
vms2pqt,11511,3,Idia Shroud,Twisted Wonderland,2,146,2
vm9qt8r,12217,3,Portgas D. Ace,One Piece,3,996,3
vmz7n66,222,5,Mukuro Hoshimiya,Date A Live IV,2,50,2
vmzg26m,6020,3,Beru,Solo Leveling,3,319,3
vm2kf26,205,5,Astolfo,Fate/Apocrypha,4,997,0
ccc50p,553,5,Yachiyo Tsuruhime,Revue Starlight Re LIVE,3,1,3
ccr5pm,732,3,Fragrant Olive,Log Horizon 2,2,1,2
